date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:56	1340/1340	---MCZ	404	error ('Not%20Found')	text/html	etag:1725280389-ssl-df	https://pradeep-m-portfolio.netlify.app/robots.txt		(from )
17:51:56	33552/33552	---MCZ	200	added ('OK')	text/html	etag:%2243cec1735ec4ab14ffd284c076ef44b2-ssl-df%22	https://pradeep-m-portfolio.netlify.app/	C:/Users/PC/Documents/My%20Portfolio/pradeep-m-portfolio.netlify.app/index.html	(from )
17:51:57	9/9	---M--	403	error ('Forbidden')	text/html	date:Tue,%2028%20Jan%202025%2012:51:57%20GMT	https://kit.fontawesome.com/20c5629a29.js	C:/Users/PC/Documents/My%20Portfolio/kit.fontawesome.com/20c5629a29.0.delayed	(from https://pradeep-m-portfolio.netlify.app/)
17:51:58	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%2265692999-5512%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	C:/Users/PC/Documents/My%20Portfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://pradeep-m-portfolio.netlify.app/)
17:51:59	29735/29735	---MCZ	200	added ('OK')	text/css	etag:%229540e59b4f7b8f894e9cb7dbd86b25cb-ssl-df%22	https://pradeep-m-portfolio.netlify.app/index.css	C:/Users/PC/Documents/My%20Portfolio/pradeep-m-portfolio.netlify.app/index.css	(from https://pradeep-m-portfolio.netlify.app/)
17:51:59	6218/6218	---M--	200	added ('OK')	image/png	etag:%228ff2c4b1a2731d7fc2a0a3dca8b15696%22	https://res.cloudinary.com/dffu1ungl/image/upload/v1726493608/Untitled_design_10_fy1uzs.png	C:/Users/PC/Documents/My%20Portfolio/res.cloudinary.com/dffu1ungl/image/upload/v1726493608/Untitled_design_10_fy1uzs.png	(from https://pradeep-m-portfolio.netlify.app/)
17:51:59	535578/535578	---M--	200	added ('OK')	image/png	etag:%22a66f168f2430f1fa2df29ee3da173b43%22	https://res.cloudinary.com/dffu1ungl/image/upload/v1725002873/Natural_Profile_Photo_Frame_Instagram_Post_1_uob6vm.png	C:/Users/PC/Documents/My%20Portfolio/res.cloudinary.com/dffu1ungl/image/upload/v1725002873/Natural_Profile_Photo_Frame_Instagram_Post_1_uob6vm.png	(from https://pradeep-m-portfolio.netlify.app/)
17:52:00	1847/1847	---M--	200	added ('OK')	image/png	etag:%223a6978ffce418b5cd26613a4c59644d7%22	https://res.cloudinary.com/dffu1ungl/image/upload/v1726416463/Deloitte_Logo_le7w8o.png	C:/Users/PC/Documents/My%20Portfolio/res.cloudinary.com/dffu1ungl/image/upload/v1726416463/Deloitte_Logo_le7w8o.png	(from https://pradeep-m-portfolio.netlify.app/)
17:52:00	3520/3520	---M--	200	added ('OK')	image/png	etag:%227d83cae117eaa8d3a43231258cd7e236%22	https://res.cloudinary.com/dffu1ungl/image/upload/v1726416463/Atliq_Logo_aqeljg.png	C:/Users/PC/Documents/My%20Portfolio/res.cloudinary.com/dffu1ungl/image/upload/v1726416463/Atliq_Logo_aqeljg.png	(from https://pradeep-m-portfolio.netlify.app/)
17:52:01	3259/3259	---M--	200	added ('OK')	image/jpeg	etag:%22d40551d45d6e741bafe5ea75697b3a61%22	https://res.cloudinary.com/dffu1ungl/image/upload/v1726416463/Senchola_Logo_ru5fru.jpg	C:/Users/PC/Documents/My%20Portfolio/res.cloudinary.com/dffu1ungl/image/upload/v1726416463/Senchola_Logo_ru5fru.jpg	(from https://pradeep-m-portfolio.netlify.app/)
17:52:01	13668/13668	---M--	200	added ('OK')	image/webp	date:Fri,%2016%20Feb%202024%2013:18:46%20GMT	https://images.codebasics.io/filters:format(webp)/fit-in/450x450/uploads/learner-portfolio/projects/thumbnail/208116/65cf60b5e92ed/648ea959c6.png	C:/Users/PC/Documents/My%20Portfolio/images.codebasics.io/filters_format(webp)/fit-in/450x450/uploads/learner-portfolio/projects/thumbnail/208116/65cf60b5e92ed/648ea959c6.png	(from https://pradeep-m-portfolio.netlify.app/)
17:52:02	33958/33958	---M--	200	added ('OK')	image/png	etag:%22496ddbb69f234765ef785bb88b36a8f1%22	https://res.cloudinary.com/dffu1ungl/image/upload/v1725383000/Microsoft-Power-BI-Logo-2013_gelnwa.png	C:/Users/PC/Documents/My%20Portfolio/res.cloudinary.com/dffu1ungl/image/upload/v1725383000/Microsoft-Power-BI-Logo-2013_gelnwa.png	(from https://pradeep-m-portfolio.netlify.app/)
